pillar,pattern,file,line,context
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,70,\item Proton modeled as Y-junction (Steiner point)
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,75,\item Why tensions of Y-junction arms are equal
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,172,of defect lines (Y-junction arms) oriented along $\mathbb{Z}_3 \subset \mathbb{Z}_6$
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,193,Y-junction with arms along $\mathbb{Z}_3$ directions has $120°$ angles.
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,364,\textbf{Goal:} Show that the proton (Y-junction at Steiner point) is a
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,372,"title={Bridge: From Hexagonal Lattice to Proton as Y-Junction}, breakable]"
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,375,Step 4 claims the proton is a Y-junction. How are these connected?
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,382,\item \textbf{Nodes} (vertices) are where three flux tubes meet---these are Y-junctions!
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,385,Every node in a hexagonal lattice is automatically a Y-junction with $120°$ angles.
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,386,The lattice and the Y-junction are not separate structures---the Y-junction IS
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,401,Could a proton be something other than a Y-junction? Consider the alternatives:
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,405,\item \textbf{X-junction (4 arms):} Not a minimum (would split into two Y-junctions)
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,406,\item \textbf{Y-junction (3 arms):} Unique minimum with $\mathbb{Z}_3$ color structure---this is the proton!
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,418,The \emph{only} possibility is a Y-junction. The proton identification is not a choice---it
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,431,\begin{definition}[Y-Junction Configuration]
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,433,"A Y-junction is a configuration where three defect lines meet at a single point,"
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,451,"The proton Y-junction with arms at $(0°, 120°, 240°)$ is a fixed point of"
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,471,Energy functional for Y-junction:
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,550,bulk (Y-junction forced by $\mathbb{Z}_3$ symmetry). The same logic applies to the
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,577,"The Z6~Program already forced unique minima in the bulk (proton = Y-junction,"
