claim_id,pillar,pdf_page,pdf_section,source_file,line_start,line_end,claimed_status,redteam_status,short_reason
P1-01,P1,83,3.4,Z6_content_full.tex,431,435,[Dc],CONDITIONAL,Definition is geometric not topological
P1-02,P1,79,3.2,Z6_content_full.tex,189,200,[Dc],CONDITIONAL,Depends on Z6 postulate
P1-03,P1,84,3.4,Z6_content_full.tex,541,541,[Dc],CONDITIONAL,Local minimum not global
P1-04,P1,70,2.7,sections/02_frozen_regime_foundations.tex,556,556,[P],OPEN,Flux tube undefined
P1-05,P1,141,5.1,sections/05_case_neutron.tex,19,27,[P],OPEN,No excitation spectrum
P1-06,P1,87,3.5,Z6_content_full.tex,645,653,[I],CONDITIONAL,Identification not derivation
P2-01,P2,81,3.3,Z6_content_full.tex,334,340,[Dc],CONDITIONAL,2D packing for 5D brane
P2-02,P2,209,4.2,CH3_electroweak_parameters.tex,207,213,[Dc],CONDITIONAL,Footnote admits conditional
P2-03,P2,228,4.2,CH3_electroweak_parameters.tex,227,231,[P],OPEN,Core postulate unproven
P2-04,P2,220,4.2,CH3_electroweak_parameters.tex,219,222,[M],CLOSED,Pure group theory
P2-05,P2,130,5.2,meta_part2/01_claim_ledger.tex,35,35,[Dc],OPEN,No proof generations=quotient
P2-06,P2,259,4.2,CH3_electroweak_parameters.tex,258,259,[I],CONDITIONAL,Identification only
P2-07,P2,239,4.2,CH3_electroweak_parameters.tex,239,239,claim,OPEN,RG running not computed
P3-01,P3,66,2.4,sections/02_frozen_regime_foundations.tex,245,253,[Dc],CONDITIONAL,Limit assumed not proven
P3-02,P3,66,2.4,sections/02_frozen_regime_foundations.tex,246,252,[Dc],CONDITIONAL,No variational derivation
P3-03,P3,66,2.4,sections/02_frozen_regime_foundations.tex,267,267,[Cal],CLOSED,Numerical check reproducible
P3-04,P3,66,2.4,sections/02_frozen_regime_foundations.tex,268,268,[Cal],CLOSED,Numerical check reproducible
P3-05,P3,6,1.4,sections/03_unified_pipeline.tex,119,121,[P],OPEN,No Hilbert space defined
P3-06,P3,67,2.5,sections/02_frozen_regime_foundations.tex,301,313,[P],CONDITIONAL,Heuristic argument
P3-07,P3,67,2.5,sections/02_frozen_regime_foundations.tex,315,319,[P],CONDITIONAL,Mass quantization assumed
P3-08,P3,67,2.5,sections/02_frozen_regime_foundations.tex,358,358,[P],OPEN,No superselection theorem
