claim_id,claim_text,source_file,line_start,line_end,status,depends_on,notes
T1,Steiner Minimum Theorem (120° for equal tensions),Z6_content_full.tex,94,121,[M],none,Pure math - proven 1834
T2,Kepler-Hales Packing (hexagonal optimal),Z6_content_full.tex,225,237,[M],none,Pure math - proven 2005
T3,Vol(B³) = 4π/3,02_frozen_regime_foundations.tex,449,486,[M],none,Pure math - sphere volume
T4,Area(S³) = 2π²,02_frozen_regime_foundations.tex,670,692,[M],none,Pure math - 3-sphere surface
T5,Isoperimetric Theorem,02_frozen_regime_foundations.tex,427,447,[M],none,Pure math - sphere minimizes
P1,Z6-Invariant Boundary Conditions,Z6_content_full.tex,155,166,[P],none,Postulate - not derived
P2,Flux Tube Interactions (repel+attract),Z6_content_full.tex,239,253,[P],none,Postulate - motivated but not derived
P3,Neutron as Dislocation,Z6_content_full.tex,642,651,[P],none,Postulate - identification
P4,5D Bulk Manifold,02_frozen_regime_foundations.tex,86,90,[P],none,Core EDC postulate
P5,3D Membrane,02_frozen_regime_foundations.tex,92,96,[P],none,Core EDC postulate
L1,Hexagonal Ground State,Z6_content_full.tex,312,332,[Dc],P2+T2,Conditional on P2
L2,Z6 Emergence from Hexagonal,Z6_content_full.tex,334,341,[Dc],L1,Conditional on P2
L3,Equal Tensions from Z6,Z6_content_full.tex,168,187,[Dc],P1|L2,Conditional on P1 or P2
L4,Steiner 120° Equilibrium,Z6_content_full.tex,189,200,[Dc],L3+T1,Conditional on P1 or P2
L5,Proton as Z3 Fixed Point,Z6_content_full.tex,448,461,[Dc],L2,Conditional on P2
L6,Proton Stability (Positive Hessian),Z6_content_full.tex,463,488,[Dc],L4+L5,Conditional on P1 or P2
Q1,Proton is topological energy minimum,04b_proton_anchor.tex,41,45,[Dc],L6,Conditional - see PROOF_LEDGER
Q2,120° forced by M5 topology + BC,none,0,0,[MISSING],???,NOT FOUND IN SOURCES
GAP1,M5 topology → Z6 derivation,none,0,0,[MISSING],none,CRITICAL GAP
GAP2,Homotopy classification of Y-junction,none,0,0,[MISSING],none,π₂(M/G) not computed
GAP3,Y-junction topological definition,Z6_content_full.tex,431,435,[MISSING],none,Only geometric definition exists
