table_label,chapter,caption,epistemic_tag,source_file
tab:unified:glossary,ch16_unified_picture,EDC-native ontology for Book IV.,,./chapters/ch16_unified_picture.tex
tab:unified:tree,ch16_unified_picture,"Derivation Tree Ledger. Columns: Node identifier, input depe",,./chapters/ch16_unified_picture.tex
tab:unified:epistemic,ch16_unified_picture,"Epistemic Status Summary. [I] = input from Book I;
[Der] = d",,./chapters/ch16_unified_picture.tex
tab:unified:path,ch16_unified_picture,Suggested reading paths.,,./chapters/ch16_unified_picture.tex
tab:sigmaK:chain,ch04_sigma_to_K,Derivation Chain: $\bsigma \to \Kpin$,,./chapters/ch04_sigma_to_K.tex
tab:M6:graphs,ch05_M6_lattice,Primal vs.\ Dual Graph Interpretation,\tagDer,./chapters/ch05_M6_lattice.tex
tab:M6:status,ch05_M6_lattice,M$_6$ Derivation: Epistemic Status,,./chapters/ch05_M6_lattice.tex
tab:variables,ch13_geiger_nuttall,Baseline variables dictionary (EDC-native).,\tagBL,./chapters/ch13_geiger_nuttall.tex
tab:formula,ch13_geiger_nuttall,Baseline formula components with epistemic tags.,\tagP,./chapters/ch13_geiger_nuttall.tex
tab:failure,ch13_geiger_nuttall,Baseline failure modes and EDC corrections.,,./chapters/ch13_geiger_nuttall.tex
tab:gn:epistemic,ch13_geiger_nuttall,Epistemic status of Chapter~\ref{ch:barrier_release,,./chapters/ch13_geiger_nuttall.tex
tab:subgroup_interpret,ch02_junction_symmetries,Subgroup interpretation in junction space.,,./chapters/ch02_junction_symmetries.tex
tab:M6_vocab,ch02_junction_symmetries,Schematic of primal Steiner lattice $G$ and dual $\Msix$ lat,,./chapters/ch02_junction_symmetries.tex
tab:ch2_epistemic,ch02_junction_symmetries,Epistemic status of Chapter 2 claims.,,./chapters/ch02_junction_symmetries.tex
tab:ch2_notation,ch02_junction_symmetries,Chapter 2 notation dictionary.,,./chapters/ch02_junction_symmetries.tex
tab:config_glossary,ch12_light_nuclei,Configuration types and qualitative stability expectations.,\tagP,./chapters/ch12_light_nuclei.tex
tab:baselines,ch12_light_nuclei,Baseline binding energies for $A = 2 \ldots 10$ systems.,\tagOpen,./chapters/ch12_light_nuclei.tex
tab:pattern,ch12_light_nuclei,EDC pattern classification for $A = 2 \ldots 10$.,\tagOpen,./chapters/ch12_light_nuclei.tex
tab:light:sensitivity,ch12_light_nuclei,Qualitative sensitivity of stability ranking to parameter va,,./chapters/ch12_light_nuclei.tex
tab:light:epistemic,ch12_light_nuclei,Epistemic status of Chapter~\ref{ch:light_clusters,\tagP,./chapters/ch12_light_nuclei.tex
tab:budget,ch11_helium4,Four-term contribution budget for $B_4$.,\tagP,./chapters/ch11_helium4.tex
tab:inputs,ch11_helium4,Input parameters for A=4 binding calculation.,\tagP,./chapters/ch11_helium4.tex
tab:he4:sensitivity,ch11_helium4,Sensitivity of $B_4$ to $\pm 10\%$ variations in each term.,,./chapters/ch11_helium4.tex
tab:closure_range,ch11_helium4,Effect of closure term uncertainty on $B_4$.,,./chapters/ch11_helium4.tex
tab:he4:epistemic,ch11_helium4,Epistemic status of Chapter~\ref{ch:helium4,\tagP,./chapters/ch11_helium4.tex
tab:f:allowed,ch14_coordination_frustration,Allowed coordination numbers $S = \{2^a \times 3^b\,\tagDer,./chapters/ch14_coordination_frustration.tex
tab:f:examples,ch14_coordination_frustration,Example coordination frustration calculations.,,./chapters/ch14_coordination_frustration.tex
tab:f:notation,ch14_coordination_frustration,Notation dictionary for coordination frustration.,\tagCal,./chapters/ch14_coordination_frustration.tex
tab:f:epistemic,ch14_coordination_frustration,Epistemic status of Chapter~\ref{ch:frustrated,,./chapters/ch14_coordination_frustration.tex
tab:sh:predictions,ch15_superheavy,High-coordination regime predictions. All logarithms are bas,,./chapters/ch15_superheavy.tex
tab:sh:performance,ch15_superheavy,Performance comparison: baseline vs.\ corrected lane.,,./chapters/ch15_superheavy.tex
tab:repro:artifacts,ch17_reproducibility,Verification Artifacts,,./chapters/ch17_reproducibility.tex
tab:repro:layerAB,ch17_reproducibility,Deterministic vs.\ Calibrated Quantities,,./chapters/ch17_reproducibility.tex
tab:x:terminology,appX_analogies,EDC $\leftrightarrow$ SM Terminology (Non-Binding),,./appendices/appX_analogies.tex
tab:superheavy_predictions,appC_tables,Superheavy $\alpha$-decay predictions (Z $\geq$ 114),,./appendices/appC_tables.tex
tab:light_binding,appC_tables,Light cluster binding energies: EDC vs.\ observed,,./appendices/appC_tables.tex
tab:metastable_params,appC_tables,Metastable junction lifetime derivation parameters,,./appendices/appC_tables.tex
tab:v78_coefficients,appC_tables,V7.8 M2 fitted coefficients for frustration-corrected baseli,,./appendices/appC_tables.tex
